category,city,resources/contact,resources/descriptionandorserviceprovided,resources/nameoftheorganisation,resources/phonenumber,resources/state
Police,Lakhimpur,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3752223737,
9435760899",Assam
Police,Morigaon,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3678241161,
9854102220",Assam
Police,Majuli,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"6002628243,
8011077752",Assam
Police,Nagaon,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3672235620,
8724915419",Assam
Police,Nalbari,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3624220440,
8811087224",Assam
Police,Sadiya,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3756244005,
9706556882",Assam
Police,Sivasagar,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3772222801,
9435500597",Assam
Police,Sonitpur,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3712232800,
7086993898",Assam
Police,South Salmara,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,7635831151,Assam
Police,Tinsukia,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3742337858,
6900657812",Assam
Police,Udalguri,https://twitter.com/airnews_ghy/status/1251021569104601088,District level government helpline number for COVID-19 assistance,Government of Assam,"3711224011,
7002776546",Assam
Government Helpline,Biswanath,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3715222086,
6002668873",Assam
Government Helpline,Barpeta,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3665236085,
9365369069",Assam
Government Helpline,Baksa,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,8471900263,Assam
Government Helpline,Cachar,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3842239249,
9401624141",Assam
Government Helpline,Charaideo,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3772255123,
6002670501",Assam
Government Helpline,Chirang,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3664242316,
9435105936",Assam
Government Helpline,Dhubri,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3662231149,
8134913269",Assam
Government Helpline,Dibrugarh,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3732312940,
9435358371",Assam
Government Helpline,Darrang,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3713222723,
9435844400",Assam
Government Helpline,Dhemaji,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3753224014,
7577035639",Assam
Government Helpline,Goalpara,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,8638412176,Assam
Government Helpline,Golaghat,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3774285033,
9435292948",Assam
Government Helpline,Guwahati City,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,3612733052,Assam
Government Helpline,Hamren,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3677230051,
9678186296",Assam
Government Helpline,Hailakandi,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,3844223377,Assam
Government Helpline,Hojai,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3674284022,
6003256039",Assam
Government Helpline,Karbi Anglong,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3671272248,
7896039111",Assam
Government Helpline,Karimganj,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,3843265144,Assam
Government Helpline,Kamrup,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"9678471071,
6026656653",Assam
Government Helpline,Kokrajhar,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,9613862548,Assam
Government Helpline,Lakhimpur,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,3752244736,Assam
Government Helpline,Morigaon,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3678241341,
6000196907",Assam
Government Helpline,Majuli,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3775274499,
7635961522",Assam
Government Helpline,Nagaon,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3672236827,
9101985190",Assam
Government Helpline,Nalbari,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3624220219,
9854082116",Assam
Government Helpline,Sadiya,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,6900911465,Assam
Government Helpline,Sivasagar,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3772223397,
8471864355",Assam
Government Helpline,Sonitpur,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3712232440,
9435371672",Assam
Government Helpline,South Salmara,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3662286328,
9954853411",Assam
Government Helpline,Tinsukia,https://twitter.com/airnews_ghy/status/1251021569104601088,District disaster management helpline for COVID-19 assistance,Government of Assam,"3742338656,
7399132531",Assam
Government Helpline,PAN State,https://twitter.com/airnews_ghy/status/1251021569104601088,ASDMA state level helpline for COVID19 assistance,Government of Assam,"1079,
1070",Assam
Police,PAN State,https://twitter.com/airnews_ghy/status/1251021569104601088,DG Control state level helpline for COVID19 assistance,Government of Assam,9435215029,Assam
Police,Guwahati City,https://twitter.com/airnews_ghy/status/1251021569104601088,Guwahati PCR helpline for COVID19 assistance,Government of Assam,"3612464557,
9127801077",Assam
Government Helpline,PAN State,https://twitter.com/airnews_ghy/status/1251021569104601088,ASDMA state level helpline for COVID19 assistance,Government of Assam,1077,Assam
Other,PAN State,,Important Helplines for Women facing Domestic Violence,Women in goverance,6003214180,Assam
Other,PAN State,,Important Helplines for Women facing Domestic Violence,Special Cell for Women,"6000015191,
8876127539",Assam
Other,Kamrup,,Important Helplines for Women facing Domestic Violence,Grameen Mahila Kendras,"9365648832,
9435017824,
9957029961",Assam
Other,Darrang,,Important Helplines for Women facing Domestic Violence,Grameen Mahila Kendras,9577576677,Assam
Other,Golaghat,,Important Helplines for Women facing Domestic Violence,Grameen Mahila Kendras,8638747110,Assam
CoVID-19 Testing Lab,Darbhanga,https://dmch.in/,Government approved and supported testing lab by ICMR,Darbhanga Medical College,6272256203,Bihar
CoVID-19 Testing Lab,Patna,http://www.igims.org/,Covid-19 testing,Indira Gandhi Institute of Medical Sciences,9801149243,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,District Control Room Helpline Number,District Control Room,"6114223013,
8544423133",Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Makhdumpur,8544421450,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Ratni Faridpur,8544421446,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Kako,8544421445,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Okari,9470003334,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Jehanabad,8544421451,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Ghoshi,8544421444,Bihar
Government Helpline,Jehanabad,http://jehanabad.nic.in,Block Control Room Helpline Number,Block Control room for Hulasganj,8544421447,Bihar
CoVID-19 Testing Lab,Patna,https://www.rmrims.org.in/,Government approved and supported testing lab by ICMR,Rajendra Memorial Research Institute of Medical Sciences,6122636651,Bihar
Other,Bihar Sharif,https://www.careindia.org/contact-us/,"CARE a global humanitarian organization is working with partners across over ninety countries helping the most marginalised women and girls in the fight on COVID 19. CARE India has a 1400+ team working with Government of Bihar in supporting the government in contact tracing, monitoring, infection control, laboratory and hospital strengthening for fight COVID",Care India,"6122274957,
6122274389",Bihar
Other,Muzzafarpur,,Important Helplines for Women facing Domestic Violence,Aakansha Seva Sadan,9905443544,Bihar
Other,PAN State,https://adithi.in/,Important Helplines for Women facing Domestic Violence,Adithi,9934029353,Bihar
CoVID-19 Testing Lab,Chandigarh,http://pgimer.edu.in/PGIMER_PORTAL/PGIMERPORTAL/home.jsp,Government approved and supported Testing labs by ICMR,Post Graduate Institute of Medical Education & Research,1722747585,Chandigarh
CoVID-19 Testing Lab,Chandigarh,https://gmch.gov.in/,Government approved and supported Testing labs by ICMR,Govt. Medical College,1722601023,Chandigarh
Fundraisers,Chandigarh,https://www.ourdemocracy.in/Campaign/Covid19reliefCHD,"This campaign aims at providing relief to daily-wage workers in Chandigarh, Mohali and Panchkula who are affected by the lockdown.
Cities suported: Chandigarh, Mohali, Panchkula
Other Links:
https://www.instagram.com/chhotisiasha/
https://www.facebook.com/pg/ChhotiSiAsha/about/",Chhoti Si Asha,9811604457,Chandigarh
Fundraisers,Chandigarh,https://iamstillhuman.org/fightcoronavirus/,"I Am Still Human is hosting a Fund Raiser to help underprivileged people living in the slum areas and roads who need help at this hour and are less aware of how important hygiene has become now out of all times. With the amount collected, we aim to provide them with Food and Ration, and some basic hygiene products like Masks, Soaps and Sanitizers.",I Am Still Human,8427912765,Chandigarh
Police,Bilaspur,https://facebook.com/Thana-Champa-Police-904808342989382/,"Movement pass, food and accommodation assistance",Champa Thana Incharge,9479193108,Chhattisgarh
CoVID-19 Testing Lab,Raipur,http://www.aiimsraipur.edu.in/,Government approved and supported Testing labs by ICMR,All India Institute of Medical Sciences,7712572240,Chhattisgarh
Mental well being and Emotional Support,Raipur,,"Counseling and Psychiatric Care, Substance Abuse and withdrawl related issues, Child guidance, Marital and interpersonal issues",Pragya Hospital,9826121821,Chhattisgarh
CoVID-19 Testing Lab,Jagdalpur,https://covid.icmr.org.in/index.php/testing-labs-deatails,Government approved and supported Testing labs by ICMR,Late Baliram Kashyap M Govt. Medical College,7782292878,Chhattisgarh
Government Helpline,Raipur,"http://dprcg.gov.in/post/1585391911/%E0%A4%B0%E0%A4%BE%E0%A4%AF%E0%A4%AA%E0%A5%81%E0%A4%B0_:_%E0%A4%AD%E0%A4%BF%E0%A4%96%E0%A4%BE%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82,_%E0%A4%AC%E0%A5%87%E0%A4%B8%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A4%BE,_%E0%A4%9C%E0%A4%B0%E0%A5%82%E0%A4%B0%E0%A4%A4%E0%A4%AE%E0%A4%82%E0%A4%A6,_%E0%A4%A6%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A5%9C%E0%A5%80_%E0%A4%AE%E0%A4%9C%E0%A4%A6%E0%A5%82%E0%A4%B0%E0%A5%8B%E0%A4%82,_%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82_%E0%A4%94%E0%A4%B0_%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A5%80-%E0%A4%B0%E0%A5%8B%E0%A4%9F%E0%A5%80_%E0%A4%95%E0%A5%87_%E0%A4%B2%E0%A4%BF%E0%A4%8F___%E0%A4%AC%E0%A4%BE%E0%A4%B9%E0%A4%B0_%E0%A4%A8%E0%A4%B9%E0%A5%80%E0%A4%82_%E0%A4%9C%E0%A4%BE_%E0%A4%AA%E0%A4%BE_%E0%A4%B0%E0%A4%B9%E0%A5%87_%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82_%E0%A4%95%E0%A5%87_%E0%A4%B2%E0%A4%BF%E0%A4%8F_%E2%80%99%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%87%E0%A4%B6%E0%A4%B2_%E0%A4%AB%E0%A5%82%E0%A4%A1_%E0%A4%B8%E0%A5%87%E0%A4%B2%E2%80%99_%E0%A4%95%E0%A5%80_%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%AA%E0%A4%A8%E0%A4%BE",Food Suply control Room- supply of Free Food- Landline NO,Raipur Municipal Corportion,7714055574,Chhattisgarh
"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Raipur,"http://dprcg.gov.in/post/1585391911/%E0%A4%B0%E0%A4%BE%E0%A4%AF%E0%A4%AA%E0%A5%81%E0%A4%B0_:_%E0%A4%AD%E0%A4%BF%E0%A4%96%E0%A4%BE%E0%A4%B0%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82,_%E0%A4%AC%E0%A5%87%E0%A4%B8%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A4%BE,_%E0%A4%9C%E0%A4%B0%E0%A5%82%E0%A4%B0%E0%A4%A4%E0%A4%AE%E0%A4%82%E0%A4%A6,_%E0%A4%A6%E0%A4%BF%E0%A4%B9%E0%A4%BE%E0%A5%9C%E0%A5%80_%E0%A4%AE%E0%A4%9C%E0%A4%A6%E0%A5%82%E0%A4%B0%E0%A5%8B%E0%A4%82,_%E0%A4%AE%E0%A4%82%E0%A4%A6%E0%A4%AC%E0%A5%81%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82_%E0%A4%94%E0%A4%B0_%E0%A4%B0%E0%A5%8B%E0%A4%9C%E0%A5%80-%E0%A4%B0%E0%A5%8B%E0%A4%9F%E0%A5%80_%E0%A4%95%E0%A5%87_%E0%A4%B2%E0%A4%BF%E0%A4%8F___%E0%A4%AC%E0%A4%BE%E0%A4%B9%E0%A4%B0_%E0%A4%A8%E0%A4%B9%E0%A5%80%E0%A4%82_%E0%A4%9C%E0%A4%BE_%E0%A4%AA%E0%A4%BE_%E0%A4%B0%E0%A4%B9%E0%A5%87_%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82_%E0%A4%95%E0%A5%87_%E0%A4%B2%E0%A4%BF%E0%A4%8F_%E2%80%99%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A5%87%E0%A4%B6%E0%A4%B2_%E0%A4%AB%E0%A5%82%E0%A4%A1_%E0%A4%B8%E0%A5%87%E0%A4%B2%E2%80%99_%E0%A4%95%E0%A5%80_%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%AA%E0%A4%A8%E0%A4%BE",Medicines Home delivery-Control Room -Lamdline No,Raipur Municipal Corportion,7714216666,Chhattisgarh
Government Helpline,Raipur,,Corona helpline center- chhattisgarh govt.,Corona Helpline Center,104,Chhattisgarh
Government Helpline,Raipur,https://twitter.com/ChhattisgarhCMO/status/1247857589473271808,"Donation of grocery, ration etc & distrubution by Administration",Donations on WHEELS - Chhattisgarh Govt.,9669577888,Chhattisgarh
Mental well being and Emotional Support,Raipur,https://twitter.com/ChhattisgarhCMO/status/1247538851024744450,online delivery of education,online education platform for children during lockdown,,Chhattisgarh
Fundraisers,Raipur,https://twitter.com/ChhattisgarhCMO/status/1246278820589481984,"Chattisgarh CM relief Fund for donation, UPI ID - cgcmrelieffund@sbi",CM Relief Fund- Chhattisgarh,104,Chhattisgarh
Accommodation and Shelter Homes,Raipur,https://twitter.com/ChhattisgarhCMO/status/1244998521079476226,for laboure & Migrants state wide helpline,state helpline for labour & migrants,9109849992,Chhattisgarh
Government Helpline,Raipur,https://twitter.com/ChhattisgarhCMO/status/1244296965094928385,Govt COVID 19 CONTROL ROOM,Control Room,7714287199,Chhattisgarh
"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Raipur,https://twitter.com/DPRChhattisgarh/status/1245363049533337600,Milk & Milk products delivery at home (Min order qty Rs 500),state milk Cooperative,9827726833,Chhattisgarh
"Delivery [Vegetables, Fruits, Groceries, Medicines, etc.]",Raipur,http://dprcg.gov.in/post/1586008395/____%E0%A4%B0%E0%A4%BE%E0%A4%AF%E0%A4%AA%E0%A5%81%E0%A4%B0_:__%E0%A4%95%E0%A5%8B%E0%A4%B0%E0%A5%8B%E0%A4%A8%E0%A4%BE_%E0%A4%B8%E0%A4%82%E0%A4%95%E0%A4%9F:_%E0%A4%96%E0%A5%81%E0%A4%A6%E0%A4%B0%E0%A4%BE_%E0%A4%A6%E0%A4%B5%E0%A4%BE_%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%AA%E0%A4%BE%E0%A4%B0%E0%A5%80_%E0%A4%A6%E0%A5%87%E0%A4%82%E0%A4%97%E0%A5%87_%E0%A4%A6%E0%A4%B5%E0%A4%BE%E0%A4%93%E0%A4%82_%E0%A4%95%E0%A5%80_%E0%A4%98%E0%A4%B0_%E0%A4%AA%E0%A4%B9%E0%A5%81%E0%A4%82%E0%A4%9A_%E0%A4%B8%E0%A5%87%E0%A4%B5%E0%A4%BE,"Over 55 medical stores for home delivery, kindly click the link",Medical store & Medicine supplies,8817409702,Chhattisgarh
